master	count
AND2_X1	927
AND2_X2	123
AND2_X4	169
AND3_X1	428
AND3_X2	95
AND3_X4	56
AND4_X1	115
AND4_X2	11
AND4_X4	11
AOI211_X1	1160
AOI211_X2	1087
AOI21_X1	4742
AOI21_X2	1013
AOI21_X4	658
AOI221_X1	280
AOI221_X2	877
AOI222_X2	44
AOI22_X1	2747
AOI22_X2	378
AOI22_X4	292
BUF_X1	8
BUF_X16	873
BUF_X2	42
BUF_X32	29
BUF_X4	607
BUF_X8	1762
CLKBUF_X1	1368
CLKBUF_X2	7
CLKBUF_X3	2440
DFFR_X1	3517
DFFR_X2	2092
DFFS_X2	6
DFF_X1	8244
DFF_X2	128
INV_X1	3025
INV_X16	57
INV_X2	285
INV_X4	112
INV_X8	95
LOGIC0_X1	1
MUX2_X1	12832
MUX2_X2	157
NAND2_X1	4220
NAND2_X2	818
NAND2_X4	918
NAND3_X1	2539
NAND3_X2	402
NAND3_X4	362
NAND4_X1	388
NAND4_X2	103
NAND4_X4	62
NOR2_X1	7100
NOR2_X2	803
NOR2_X4	1103
NOR3_X1	1399
NOR3_X2	280
NOR3_X4	297
NOR4_X1	246
NOR4_X2	198
NOR4_X4	92
OAI211_X1	3857
OAI211_X2	389
OAI211_X4	249
OAI21_X1	9270
OAI21_X2	755
OAI21_X4	358
OAI221_X1	1483
OAI221_X2	456
OAI222_X2	39
OAI22_X1	1031
OAI22_X2	324
OAI22_X4	310
OAI33_X1	328
OR2_X1	1107
OR2_X2	90
OR2_X4	92
OR3_X1	330
OR3_X2	86
OR3_X4	41
OR4_X1	112
OR4_X2	25
OR4_X4	9
TAPCELL_X1	2196
XNOR2_X1	1639
XNOR2_X2	1543
XOR2_X1	370
XOR2_X2	1087
